respondent_id,wave,age,political_ideology,news_consumption_freq,climate_anxiety_scale,behavior_change_index
1,1,29,5,4,6,4
1,2,29,5,4,6,2
1,3,29,5,4,5,3
2,1,70,5,3,7,5
2,2,70,5,3,6,1
2,3,70,5,3,7,2
3,1,69,1,5,10,5
3,2,69,1,5,8,6
3,3,69,1,5,10,3
4,1,75,3,2,4,4
4,2,75,3,2,3,1
4,3,75,3,2,12,5
5,1,23,2,1,5,2
5,2,23,2,1,4,0
5,3,23,2,1,8,5
6,1,23,4,4,8,2
6,2,23,4,4,7,3
6,3,23,4,4,7,5
7,1,40,5,2,3,1
7,2,40,5,2,4,3
7,3,40,5,2,8,3
8,1,43,3,4,9,4
8,2,43,3,4,5,0
8,3,43,3,4,10,5
9,1,74,4,1,3,4
9,2,74,4,1,5,4
9,3,74,4,1,8,3
10,1,64,5,4,4,2
10,2,64,5,4,6,3
10,3,64,5,4,6,1
11,1,70,5,1,2,4
11,2,70,5,1,1,0
11,3,70,5,1,1,0
12,1,39,3,1,3,2
12,2,39,3,1,12,3
12,3,39,3,1,9,3
13,1,69,3,5,8,2
13,2,69,3,5,13,4
13,3,69,3,5,10,3
14,1,22,2,1,6,0
14,2,22,2,1,7,2
14,3,22,2,1,9,6
15,1,70,2,4,10,4
15,2,70,2,4,11,7
15,3,70,2,4,8,3
16,1,43,2,5,7,3
16,2,43,2,5,8,4
16,3,43,2,5,8,5
17,1,60,5,4,6,2
17,2,60,5,4,7,3
17,3,60,5,4,12,8
18,1,45,4,3,7,6
18,2,45,4,3,3,-0
18,3,45,4,3,6,3
19,1,66,3,3,8,4
19,2,66,3,3,8,4
19,3,66,3,3,11,4
20,1,67,2,3,7,3
20,2,67,2,3,10,5
20,3,67,2,3,8,1
21,1,59,1,2,9,4
21,2,59,1,2,9,7
21,3,59,1,2,8,3
22,1,50,1,1,8,3
22,2,50,1,1,11,5
22,3,50,1,1,8,2
23,1,31,3,4,9,3
23,2,31,3,4,7,1
23,3,31,3,4,6,4
24,1,33,1,1,10,5
24,2,33,1,1,4,0
24,3,33,1,1,9,3
25,1,54,3,1,2,3
25,2,54,3,1,5,4
25,3,54,3,1,1,1
26,1,62,1,5,9,3
26,2,62,1,5,10,8
26,3,62,1,5,7,4
27,1,56,5,2,7,3
27,2,56,5,2,6,2
27,3,56,5,2,4,2
28,1,38,3,3,3,0
28,2,38,3,3,8,3
28,3,38,3,3,6,1
29,1,65,2,5,8,3
29,2,65,2,5,11,5
29,3,65,2,5,10,6
30,1,50,1,1,6,4
30,2,50,1,1,11,4
30,3,50,1,1,6,3
31,1,32,4,4,6,4
31,2,32,4,4,6,4
31,3,32,4,4,9,2
32,1,19,2,1,6,2
32,2,19,2,1,8,5
32,3,19,2,1,9,4
33,1,65,3,1,5,0
33,2,65,3,1,8,5
33,3,65,3,1,8,5
34,1,70,3,5,10,3
34,2,70,3,5,9,5
34,3,70,3,5,6,4
35,1,28,5,3,0,2
35,2,28,5,3,6,2
35,3,28,5,3,8,3
36,1,65,3,1,8,4
36,2,65,3,1,7,2
36,3,65,3,1,5,2
37,1,68,1,4,9,4
37,2,68,1,4,12,5
37,3,68,1,4,11,7
38,1,28,5,4,4,0
38,2,28,5,4,4,1
38,3,28,5,4,9,4
39,1,46,3,1,6,0
39,2,46,3,1,6,0
39,3,46,3,1,7,2
40,1,57,1,1,9,4
40,2,57,1,1,6,1
40,3,57,1,1,6,1
41,1,61,1,2,8,5
41,2,61,1,2,7,5
41,3,61,1,2,8,3
42,1,52,2,2,7,3
42,2,52,2,2,6,2
42,3,52,2,2,8,1
43,1,64,2,4,10,4
43,2,64,2,4,11,4
43,3,64,2,4,8,3
44,1,70,2,1,7,4
44,2,70,2,1,8,3
44,3,70,2,1,8,5
45,1,34,3,5,10,4
45,2,34,3,5,9,4
45,3,34,3,5,11,6
46,1,33,3,3,7,5
46,2,33,3,3,6,6
46,3,33,3,3,8,2
47,1,49,5,3,2,2
47,2,49,5,3,9,3
47,3,49,5,3,5,2
48,1,54,2,3,7,3
48,2,54,2,3,7,1
48,3,54,2,3,10,4
49,1,60,1,3,9,5
49,2,60,1,3,11,5
49,3,60,1,3,11,4
50,1,32,5,3,0,1
50,2,32,5,3,5,3
50,3,32,5,3,9,5
51,1,22,5,1,3,-0
51,2,22,5,1,5,2
51,3,22,5,1,6,0
52,1,61,4,4,6,1
52,2,61,4,4,6,3
52,3,61,4,4,9,5
53,1,55,5,2,4,3
53,2,55,5,2,-0,0
53,3,55,5,2,3,0
54,1,69,1,2,7,1
54,2,69,1,2,5,3
54,3,69,1,2,10,3
55,1,75,3,3,7,1
55,2,75,3,3,9,3
55,3,75,3,3,11,4
56,1,68,1,5,10,5
56,2,68,1,5,10,6
56,3,68,1,5,9,5
57,1,47,1,4,12,7
57,2,47,1,4,12,4
57,3,47,1,4,7,2
58,1,68,3,2,6,2
58,2,68,3,2,8,2
58,3,68,3,2,9,4
59,1,49,2,5,6,3
59,2,49,2,5,9,1
59,3,49,2,5,13,5
60,1,51,3,3,7,2
60,2,51,3,3,2,0
60,3,51,3,3,6,4
61,1,58,2,5,9,2
61,2,58,2,5,12,4
61,3,58,2,5,12,4
62,1,45,5,3,2,1
62,2,45,5,3,12,4
62,3,45,5,3,8,3
63,1,62,3,5,6,3
63,2,62,3,5,12,3
63,3,62,3,5,6,4
64,1,63,2,3,6,3
64,2,63,2,3,10,5
64,3,63,2,3,8,4
65,1,71,3,3,9,6
65,2,71,3,3,7,4
65,3,71,3,3,8,6
66,1,28,1,2,7,3
66,2,28,1,2,11,5
66,3,28,1,2,8,4
67,1,49,5,4,7,1
67,2,49,5,4,9,1
67,3,49,5,4,4,0
68,1,35,1,2,9,4
68,2,35,1,2,8,3
68,3,35,1,2,9,4
69,1,38,2,4,8,1
69,2,38,2,4,9,6
69,3,38,2,4,12,5
70,1,40,5,1,5,4
70,2,40,5,1,4,2
70,3,40,5,1,7,2
71,1,47,1,5,7,4
71,2,47,1,5,10,4
71,3,47,1,5,11,5
72,1,42,1,5,10,4
72,2,42,1,5,10,3
72,3,42,1,5,12,9
73,1,56,2,2,10,4
73,2,56,2,2,9,3
73,3,56,2,2,10,7
74,1,26,1,4,11,3
74,2,26,1,4,8,6
74,3,26,1,4,12,5
75,1,61,2,3,8,4
75,2,61,2,3,7,2
75,3,61,2,3,7,4
76,1,67,2,5,11,5
76,2,67,2,5,7,4
76,3,67,2,5,11,4
77,1,68,5,3,4,1
77,2,68,5,3,4,2
77,3,68,5,3,5,1
78,1,39,1,2,9,2
78,2,39,1,2,7,4
78,3,39,1,2,12,8
79,1,26,5,1,4,1
79,2,26,5,1,3,3
79,3,26,5,1,2,0
80,1,52,2,1,9,3
80,2,52,2,1,4,1
80,3,52,2,1,10,6
81,1,37,4,1,3,2
81,2,37,4,1,4,3
81,3,37,4,1,8,3
82,1,19,3,2,6,2
82,2,19,3,2,9,2
82,3,19,3,2,7,2
83,1,20,1,1,9,3
83,2,20,1,1,9,2
83,3,20,1,1,10,2
84,1,67,2,2,8,6
84,2,67,2,2,9,2
84,3,67,2,2,8,5
85,1,46,4,5,9,-0
85,2,46,4,5,6,2
85,3,46,4,5,11,4
86,1,33,2,5,12,5
86,2,33,2,5,10,4
86,3,33,2,5,6,1
87,1,28,5,2,4,2
87,2,28,5,2,6,1
87,3,28,5,2,7,5
88,1,56,4,3,6,3
88,2,56,4,3,5,2
88,3,56,4,3,7,-0
89,1,22,5,3,7,4
89,2,22,5,3,5,1
89,3,22,5,3,5,2
90,1,39,5,2,5,4
90,2,39,5,2,5,2
90,3,39,5,2,4,3
91,1,65,2,5,7,2
91,2,65,2,5,6,2
91,3,65,2,5,8,6
92,1,22,4,5,8,3
92,2,22,4,5,8,3
92,3,22,4,5,9,4
93,1,36,4,5,7,4
93,2,36,4,5,5,2
93,3,36,4,5,6,3
94,1,60,3,1,7,3
94,2,60,3,1,3,0
94,3,60,3,1,4,3
95,1,36,1,3,10,3
95,2,36,1,3,10,3
95,3,36,1,3,7,2
96,1,37,4,5,8,4
96,2,37,4,5,10,5
96,3,37,4,5,8,3
97,1,63,2,1,7,3
97,2,63,2,1,9,5
97,3,63,2,1,8,4
98,1,62,1,4,11,2
98,2,62,1,4,9,4
98,3,62,1,4,12,8
99,1,70,2,3,6,4
99,2,70,2,3,9,4
99,3,70,2,3,6,5
100,1,62,3,3,9,2
100,2,62,3,3,8,4
100,3,62,3,3,10,4
101,1,20,1,3,7,4
101,2,20,1,3,15,7
101,3,20,1,3,10,6
102,1,46,1,2,10,3
102,2,46,1,2,7,1
102,3,46,1,2,9,5
103,1,72,4,5,6,2
103,2,72,4,5,8,2
103,3,72,4,5,7,4
104,1,63,1,2,9,1
104,2,63,1,2,10,2
104,3,63,1,2,8,3
105,1,28,3,1,5,3
105,2,28,3,1,13,2
105,3,28,3,1,8,3
106,1,48,3,2,6,2
106,2,48,3,2,7,2
106,3,48,3,2,8,3
107,1,39,3,2,6,3
107,2,39,3,2,12,7
107,3,39,3,2,13,4
108,1,56,4,4,9,6
108,2,56,4,4,8,3
108,3,56,4,4,4,2
109,1,31,4,2,10,8
109,2,31,4,2,7,2
109,3,31,4,2,3,0
110,1,31,5,4,5,0
110,2,31,5,4,4,1
110,3,31,5,4,7,3
111,1,30,4,3,8,3
111,2,30,4,3,8,4
111,3,30,4,3,8,1
112,1,37,4,4,5,0
112,2,37,4,4,5,2
112,3,37,4,4,7,2
113,1,25,2,4,9,4
113,2,25,2,4,12,6
113,3,25,2,4,11,6
114,1,43,5,5,8,2
114,2,43,5,5,6,1
114,3,43,5,5,6,3
115,1,57,3,3,5,0
115,2,57,3,3,11,4
115,3,57,3,3,7,3
116,1,61,1,3,12,3
116,2,61,1,3,8,4
116,3,61,1,3,7,3
117,1,19,2,3,9,2
117,2,19,2,3,9,4
117,3,19,2,3,10,5
118,1,32,5,2,4,0
118,2,32,5,2,1,1
118,3,32,5,2,9,5
119,1,19,1,4,12,5
119,2,19,1,4,15,6
119,3,19,1,4,9,5
120,1,22,1,4,9,3
120,2,22,1,4,15,2
120,3,22,1,4,12,6
121,1,20,2,3,7,2
121,2,20,2,3,8,3
121,3,20,2,3,11,5
122,1,48,4,4,7,0
122,2,48,4,4,11,2
122,3,48,4,4,8,0
123,1,22,5,5,4,0
123,2,22,5,5,3,3
123,3,22,5,5,10,3
124,1,20,2,4,7,3
124,2,20,2,4,8,3
124,3,20,2,4,12,5
125,1,20,4,4,10,3
125,2,20,4,4,12,4
125,3,20,4,4,13,6
126,1,39,5,1,5,2
126,2,39,5,1,4,2
126,3,39,5,1,6,1
127,1,29,1,5,12,6
127,2,29,1,5,11,4
127,3,29,1,5,13,5
128,1,36,4,3,5,2
128,2,36,4,3,4,-0
128,3,36,4,3,7,4
129,1,20,2,3,10,3
129,2,20,2,3,7,2
129,3,20,2,3,10,3
130,1,59,2,1,6,3
130,2,59,2,1,8,2
130,3,59,2,1,9,5
131,1,44,2,1,5,1
131,2,44,2,1,3,3
131,3,44,2,1,12,4
132,1,42,1,4,13,6
132,2,42,1,4,11,3
132,3,42,1,4,10,6
133,1,21,4,1,1,1
133,2,21,4,1,7,5
133,3,21,4,1,3,-0
134,1,38,1,5,8,3
134,2,38,1,5,13,5
134,3,38,1,5,9,2
135,1,44,1,3,7,1
135,2,44,1,3,8,1
135,3,44,1,3,9,6
136,1,45,2,3,9,4
136,2,45,2,3,9,4
136,3,45,2,3,10,5
137,1,56,1,4,11,5
137,2,56,1,4,11,3
137,3,56,1,4,11,3
138,1,24,5,2,3,1
138,2,24,5,2,6,2
138,3,24,5,2,7,2
139,1,43,5,5,10,4
139,2,43,5,5,10,3
139,3,43,5,5,8,2
140,1,43,2,2,11,5
140,2,43,2,2,10,4
140,3,43,2,2,8,3
141,1,53,2,5,7,-0
141,2,53,2,5,9,4
141,3,53,2,5,12,4
142,1,39,5,5,5,3
142,2,39,5,5,7,4
142,3,39,5,5,4,0
143,1,38,2,5,10,5
143,2,38,2,5,9,5
143,3,38,2,5,8,2
144,1,24,1,5,8,2
144,2,24,1,5,7,5
144,3,24,1,5,15,8
145,1,56,1,1,8,4
145,2,56,1,1,8,6
145,3,56,1,1,9,5
146,1,36,5,3,4,2
146,2,36,5,3,9,5
146,3,36,5,3,4,2
147,1,48,4,2,6,2
147,2,48,4,2,5,3
147,3,48,4,2,5,2
148,1,25,3,3,5,1
148,2,25,3,3,10,4
148,3,25,3,3,6,3
149,1,62,5,3,3,1
149,2,62,5,3,5,2
149,3,62,5,3,4,6
150,1,42,1,1,10,5
150,2,42,1,1,7,4
150,3,42,1,1,9,3
151,1,20,4,3,3,3
151,2,20,4,3,5,4
151,3,20,4,3,5,3
152,1,36,1,2,6,2
152,2,36,1,2,12,6
152,3,36,1,2,11,7
153,1,47,4,4,5,2
153,2,47,4,4,7,2
153,3,47,4,4,8,3
154,1,18,4,5,4,1
154,2,18,4,5,10,3
154,3,18,4,5,7,-0
155,1,25,5,2,7,0
155,2,25,5,2,5,3
155,3,25,5,2,3,1
156,1,22,1,1,10,5
156,2,22,1,1,9,5
156,3,22,1,1,10,5
157,1,38,1,4,10,4
157,2,38,1,4,11,3
157,3,38,1,4,13,3
158,1,68,2,5,5,2
158,2,68,2,5,12,4
158,3,68,2,5,10,7
159,1,31,4,3,8,2
159,2,31,4,3,3,0
159,3,31,4,3,7,4
160,1,74,3,2,6,3
160,2,74,3,2,5,2
160,3,74,3,2,6,1
161,1,47,4,5,5,1
161,2,47,4,5,11,7
161,3,47,4,5,5,5
162,1,34,4,4,7,3
162,2,34,4,4,9,3
162,3,34,4,4,9,1
163,1,47,3,1,4,5
163,2,47,3,1,7,4
163,3,47,3,1,7,4
164,1,44,1,1,8,3
164,2,44,1,1,5,3
164,3,44,1,1,5,2
165,1,71,1,2,6,1
165,2,71,1,2,6,-0
165,3,71,1,2,11,4
166,1,33,1,4,10,5
166,2,33,1,4,12,5
166,3,33,1,4,10,2
167,1,34,5,4,6,3
167,2,34,5,4,3,3
167,3,34,5,4,8,5
168,1,51,4,2,3,1
168,2,51,4,2,8,3
168,3,51,4,2,5,2
169,1,39,2,4,8,4
169,2,39,2,4,5,5
169,3,39,2,4,11,1
170,1,35,5,4,1,0
170,2,35,5,4,10,4
170,3,35,5,4,7,3
171,1,22,4,1,4,1
171,2,22,4,1,6,2
171,3,22,4,1,7,3
172,1,35,2,2,8,4
172,2,35,2,2,9,6
172,3,35,2,2,11,3
173,1,75,4,2,4,0
173,2,75,4,2,8,2
173,3,75,4,2,9,5
174,1,28,4,4,2,2
174,2,28,4,4,5,2
174,3,28,4,4,6,1
175,1,33,1,1,4,1
175,2,33,1,1,9,5
175,3,33,1,1,11,5
176,1,63,5,3,8,4
176,2,63,5,3,9,4
176,3,63,5,3,8,2
177,1,34,1,4,7,1
177,2,34,1,4,9,5
177,3,34,1,4,11,2
178,1,46,5,5,7,2
178,2,46,5,5,9,3
178,3,46,5,5,6,2
179,1,70,2,4,10,5
179,2,70,2,4,10,4
179,3,70,2,4,8,2
180,1,73,3,5,11,5
180,2,73,3,5,7,3
180,3,73,3,5,8,2
181,1,59,1,3,9,3
181,2,59,1,3,9,4
181,3,59,1,3,10,4
182,1,55,4,3,7,-0
182,2,55,4,3,5,0
182,3,55,4,3,6,3
183,1,58,1,2,9,2
183,2,58,1,2,12,8
183,3,58,1,2,8,5
184,1,44,5,3,4,2
184,2,44,5,3,6,1
184,3,44,5,3,6,1
185,1,35,5,3,3,3
185,2,35,5,3,6,3
185,3,35,5,3,7,4
186,1,38,2,2,9,2
186,2,38,2,2,5,1
186,3,38,2,2,6,1
187,1,24,2,4,10,4
187,2,24,2,4,6,1
187,3,24,2,4,8,4
188,1,69,1,3,8,3
188,2,69,1,3,12,3
188,3,69,1,3,9,0
189,1,69,5,4,7,0
189,2,69,5,4,9,4
189,3,69,5,4,5,2
190,1,43,3,5,4,0
190,2,43,3,5,11,6
190,3,43,3,5,6,-0
191,1,27,4,4,7,4
191,2,27,4,4,10,4
191,3,27,4,4,10,4
192,1,36,3,1,3,3
192,2,36,3,1,7,1
192,3,36,3,1,7,4
193,1,75,3,1,8,1
193,2,75,3,1,5,3
193,3,75,3,1,8,1
194,1,65,4,5,7,1
194,2,65,4,5,7,2
194,3,65,4,5,10,5
195,1,22,1,2,9,2
195,2,22,1,2,11,6
195,3,22,1,2,12,4
196,1,75,3,1,7,3
196,2,75,3,1,8,4
196,3,75,3,1,4,0
197,1,49,4,5,6,6
197,2,49,4,5,8,5
197,3,49,4,5,7,3
198,1,66,5,5,7,1
198,2,66,5,5,5,0
198,3,66,5,5,8,3
199,1,65,1,1,9,0
199,2,65,1,1,12,5
199,3,65,1,1,10,4
200,1,53,5,2,3,1
200,2,53,5,2,3,0
200,3,53,5,2,3,3
